电影名,评分,链接
前三季度经“钱凯-上海”海运航线进出口货物超15万吨,10-20 17:18,https://www.chinanews.com.cn//cj/2025/10-20/10501686.shtml
第二届中国研究生国际中文教育案例大赛冠军队：中国故事的未来在共情,10-20 17:11,https://www.chinanews.com.cn//sh/2025/10-20/10501685.shtml
受“风神”影响 广西北海至涠洲岛客运航线停航,10-20 17:00,https://www.chinanews.com.cn//sh/2025/10-20/10501683.shtml
南部战区空军新闻发言人就澳P-8A军机侵闯中国西沙领空发表谈话,10-20 16:55,https://www.chinanews.com.cn//gn/2025/10-20/10501682.shtml
“十四五”时期 我国经济总量跃升、增量可观、质量提升,10-20 16:54,https://www.chinanews.com.cn//cj/2025/10-20/10501681.shtml
湖北一对夫妻深山坚守十余载守护中国小鲵,10-20 16:52,https://www.chinanews.com.cn//sh/2025/10-20/10501677.shtml
中新健康丨别把疼不当病！3个误区正在毁掉你的健康,10-20 16:52,https://www.chinanews.com.cn//sh/shipin/cns/2025/10-20/news1032991.shtml
前9月中国房地产市场多项指标同比下降速度趋缓,10-20 16:52,https://www.chinanews.com.cn//cj/2025/10-20/10501672.shtml
受“钱凯-上海”航线带动 前三季度上海对秘鲁进出口值同比增56.9%,10-20 16:51,https://www.chinanews.com.cn//cj/2025/10-20/10501671.shtml
“巴西市长走进浙江”AI圆桌会议：共启中巴合作新程,10-20 16:50,https://www.chinanews.com.cn//sh/shipin/cns-d/2025/10-20/news1032999.shtml
外交部：中美应在平等、尊重、互惠基础上协商解决有关问题,10-20 16:47,https://www.chinanews.com.cn//gn/shipin/cns-d/2025/10-20/news1032998.shtml
济南公共资源招标为中小企业和民营企业“留份额”,10-20 16:47,https://www.chinanews.com.cn//hr/2025/10-20/10501656.shtml
10国中青年新疆籍侨领“感知故乡”,10-20 16:45,https://www.chinanews.com.cn//txy/2025/10-20/10501670.shtml
埃及“小王子”漫游北京最“潮”夜：看光影绘“东方浪漫”,10-20 16:45,https://www.chinanews.com.cn//sh/shipin/cns/2025/10-20/news1032997.shtml
每一套衣服都被赋予“第二生命”！学生手洗千套军训服送给户外劳动者,10-20 16:44,https://www.chinanews.com.cn//sh/shipin/cns/2025/10-20/news1032996.shtml
着力打造亚欧黄金通道,10-20 16:42,https://www.chinanews.com.cn//cj/2025/10-20/10501673.shtml
“A超”人工智能+广电视听创新应用大赛正式启动报名,10-20 16:41,https://www.chinanews.com.cn//cj/2025/10-20/10501657.shtml
青春华章丨中青网评：实践报国，在祖国大地上寻找青春的答案,10-20 16:40,https://www.chinanews.com.cn//ll/2025/10-20/10501674.shtml
以军称在加沙城向靠近的巴勒斯坦武装人员开火,10-20 16:37,https://www.chinanews.com.cn//gj/2025/10-20/10501669.shtml
前三季度全国检察机关共起诉侵犯公民个人信息犯罪2100余件4400余人,10-20 16:34,https://www.chinanews.com.cn//gn/2025/10-20/10501663.shtml
卢浮宫博物馆宣布20日继续闭馆,10-20 16:33,https://www.chinanews.com.cn//gj/2025/10-20/10501668.shtml
新世代旅行图鉴：在路上，借人生,10-20 16:30,https://www.chinanews.com.cn//sh/2025/10-20/10501667.shtml
强化用文化同世界对话的理念,10-20 16:24,https://www.chinanews.com.cn//ll/2025/10-20/10501666.shtml
中国常驻维也纳联合国代表李松：中国永远是联合国可以信赖的伙伴,10-20 16:24,https://www.chinanews.com.cn//gj/2025/10-20/10501602.shtml
罗德里戈·帕斯·佩雷拉赢得玻利维亚总统选举,10-20 16:24,https://www.chinanews.com.cn//gj/2025/10-20/10501575.shtml
以军空袭后称加沙停火已经恢复,10-20 16:23,https://www.chinanews.com.cn//gj/2025/10-20/10501574.shtml
浙江县域观察：山区产业品质何以突围？,10-20 16:22,https://www.chinanews.com.cn//cj/2025/10-20/10501654.shtml
高原徒步的狂热与危机,10-20 16:22,https://www.chinanews.com.cn//sh/2025/10-20/10501665.shtml
打造传统与现代交相辉映的城市历史文化街区,10-20 16:18,https://www.chinanews.com.cn//ll/2025/10-20/10501664.shtml
国家粮食和物资储备局：聚焦重点地区着力解决秋粮销售问题,10-20 16:17,https://www.chinanews.com.cn//gn/2025/10-20/10501652.shtml
旅游变天：从好看到好玩,10-20 16:15,https://www.chinanews.com.cn//sh/2025/10-20/10501662.shtml
（乡村行·看振兴）改革为笔 山水为墨：浙江镇域“点绿成金”,10-20 16:14,https://www.chinanews.com.cn//sh/2025/10-20/10501651.shtml
【践行新发展理念 推动高质量发展】创新驱动 各地因地制宜发展新质生产力,10-20 16:13,https://www.chinanews.com.cn//gn/shipin/2025/10-20/news1032994.shtml
发票数据看消费：海南前三季度部分消费领域呈现亮点,10-20 16:13,https://www.chinanews.com.cn//cj/2025/10-20/10501649.shtml
“十四五”时期中国对世界经济增长年均贡献率保持在30%左右,10-20 16:11,https://www.chinanews.com.cn//cj/2025/10-20/10501642.shtml
中国LPR连续5个月按兵不动 专家称有下调空间,10-20 16:10,https://www.chinanews.com.cn//cj/2025/10-20/10501641.shtml
联合国遭遇“破产”危机 将有哪些连锁反应？专家分析→,10-20 16:10,https://www.chinanews.com.cn//gj/2025/10-20/10501659.shtml
新思想引领新征程·非凡“十四五”丨伟大征程 壮丽篇章,10-20 16:08,https://www.chinanews.com.cn//gn/2025/10-20/10501660.shtml
【新思想引领新征程·非凡“十四五”】伟大征程 壮丽篇章,10-20 16:08,https://www.chinanews.com.cn//gn/shipin/2025/10-20/news1032992.shtml
三峡水库175米蓄水即将完成 “水上森林”景观重现,10-20 16:05,https://www.chinanews.com.cn//sh/shipin/cns-d/2025/10-20/news1032995.shtml
新疆轮台县原始胡杨林迎来最佳观赏期,10-20 16:04,https://www.chinanews.com.cn//sh/shipin/cns-d/2025/10-20/news1032993.shtml
全运会倒计时 筹备服务保障工作及各项赛事有序进行,10-20 16:01,https://www.chinanews.com.cn//ty/2025/10-20/10501648.shtml
习语丨从“十四五”到“十五五”，读懂“中国之治”的战略定力和耐心,10-20 16:00,https://www.chinanews.com.cn//gn/2025/10-20/10501650.shtml
国际军体第54届海军五项世锦赛开赛,10-20 16:00,https://www.chinanews.com.cn//gj/2025/10-20/10501646.shtml
【小新的vlog】在杭州文博会当“世界买手”！和俄罗斯小姐姐一日逛“全球”,10-20 15:58,https://www.chinanews.com.cn//sh/shipin/cns/2025/10-20/news1032990.shtml
泽连斯基：如收到邀请，同意加入特朗普与普京的美俄领导人会晤,10-20 15:55,https://www.chinanews.com.cn//gj/2025/10-20/10501644.shtml
重庆动物园为大熊猫幼仔举办百日见面会,10-20 15:55,https://www.chinanews.com.cn//shipin/cns-d/2025/10-20/news1032989.shtml
日本维新会将在首相指名选举中投票给高市早苗,10-20 15:53,https://www.chinanews.com.cn//gj/2025/10-20/10501640.shtml
冷空气持续影响 15个城市继续刷新下半年最低气温纪录,10-20 15:51,https://www.chinanews.com.cn//sh/2025/10-20/10501639.shtml
中国创新体系日益成熟,10-20 15:50,https://www.chinanews.com.cn//cj/2025/10-20/10501638.shtml
山西榆社：500余名选手烟雨中上演“速度与激情”,10-20 15:49,https://www.chinanews.com.cn//ty/2025/10-20/10501628.shtml
“中国智造”让“科幻场景”加速落地,10-20 15:48,https://www.chinanews.com.cn//cj/2025/10-20/10501637.shtml
两岸媒体人走进河南看发展 体验汝瓷传统技艺等,10-20 15:48,https://www.chinanews.com.cn//txy/2025/10-20/10501627.shtml
广东惠州提升港澳居民工作生活便利度,10-20 15:47,https://www.chinanews.com.cn//dwq/2025/10-20/10501625.shtml
大学里，如何自主学习,10-20 15:46,https://www.chinanews.com.cn//edu/2025/10-20/10501636.shtml
深圳邮局海关查获大麻 毛重11.8克,10-20 15:45,https://www.chinanews.com.cn//sh/2025/10-20/10501607.shtml
2025年银川市“九九重阳”全民健身主题活动启动,10-20 15:43,https://www.chinanews.com.cn//jk/2025/10-20/10501624.shtml
跳舞何以疗愈身心？,10-20 15:42,https://www.chinanews.com.cn//jk/2025/10-20/10501635.shtml
中国经济三季报彰显韧性和活力,10-20 15:40,https://www.chinanews.com.cn//cj/2025/10-20/10501630.shtml
今年前三季度全国铁路发送旅客35.4亿人次,10-20 15:39,https://www.chinanews.com.cn//sh/2025/10-20/10501629.shtml
首套以平遥古城为背景的原创系列绘本《我在平遥长大》推出,10-20 15:39,https://www.chinanews.com.cn//cul/2025/10-20/10501622.shtml
华东师范大学国际文化节十九载 成各国文明交流互鉴的鲜活缩影,10-20 15:38,https://www.chinanews.com.cn//sh/2025/10-20/10501621.shtml
中方欢迎巴基斯坦和阿富汗达成停火协议,10-20 15:38,https://www.chinanews.com.cn//gn/2025/10-20/10501634.shtml
第138届广交会一期展会天津交易团实现意向成交2.13亿美元,10-20 15:36,https://www.chinanews.com.cn//cj/2025/10-20/10501620.shtml
复旦大学庆祝计算机建系五十周年：一系列新举措为计算学科发展注入新动能,10-20 15:35,https://www.chinanews.com.cn//sh/2025/10-20/10501618.shtml
中方：愿同印尼一道继续做好雅万高铁高质量运营,10-20 15:34,https://www.chinanews.com.cn//gn/2025/10-20/10501633.shtml
外交部：同台湾当局保持所谓“外交”关系是没有出路的“死胡同”,10-20 15:34,https://www.chinanews.com.cn//gn/2025/10-20/10501632.shtml
以军在加沙北部打死2名巴勒斯坦人,10-20 15:34,https://www.chinanews.com.cn//gj/2025/10-20/10501631.shtml
“爱心中的艺术”，北电三代影人共话电影高质量发展,10-20 15:32,https://www.chinanews.com.cn//cul/2025/10-20/10501615.shtml
外交部：中方在处理中美经贸问题上的立场是一贯的、明确的,10-20 15:31,https://www.chinanews.com.cn//gn/2025/10-20/10501626.shtml
重拾父子间的信任与温情：《放下手机》亮相广东电影推介会,10-20 15:31,https://www.chinanews.com.cn//cul/2025/10-20/10501614.shtml
台风“风神”将给华南沿海带来强风雨 中国气象局启动四级应急响应,10-20 15:30,https://www.chinanews.com.cn//sh/2025/10-20/10501623.shtml
烽火中铸就新闻铁骨——范长江与国新社的桂林岁月,10-20 15:29,https://www.chinanews.com.cn//sh/2025/10-20/10501610.shtml
两岸专家学者等在沪聚焦“孙中山宋庆龄与中华民族精神”,10-20 15:28,https://www.chinanews.com.cn//sh/2025/10-20/10501609.shtml
2025年北京市第五届社区杯八人制足球赛落幕,10-20 15:25,https://www.chinanews.com.cn//ty/2025/10-20/10501619.shtml
迎接新雪季 吉林雪场抢抓降温“天时”启动造雪,10-20 15:23,https://www.chinanews.com.cn//sh/shipin/cns-d/2025/10-20/news1032988.shtml
水下破拆救援 直击重庆武警新训潜水员考核,10-20 15:20,https://www.chinanews.com.cn//sh/shipin/cns-d/2025/10-20/news1032987.shtml
（经济观察）前三季度中国经济“成绩单”现五大看点,10-20 15:20,https://www.chinanews.com.cn//cj/2025/10-20/10501603.shtml
创指收涨1.98%，培育钻石板块集体爆发,10-20 15:17,https://www.chinanews.com.cn//cj/2025/10-20/10501611.shtml
600名骑行爱好者“骑”聚北京昌平 乐享山水林间,10-20 15:17,https://www.chinanews.com.cn//ty/2025/10-20/10501613.shtml
4221万辆 深中通道让大湾区城市群连通成网,10-20 15:16,https://www.chinanews.com.cn//dwq/2025/10-20/10501612.shtml
斯诺克北爱尔兰公开赛：中国军团首日3人晋级 赵心童遭淘汰,10-20 15:12,https://www.chinanews.com.cn//ty/2025/10-20/10501606.shtml
